titulo,casas,local,preco,bairro,cidade,descriçao,atributos,quartos,banheiro
Kitnet 2quartos,"Pequena casa tipo kitnet, 2quartos,excelente localização, perto supermercado,fácil estacionamento, local seguro [...]"," Pedreira, Belém ",600, Pedreira, Belém ,"AluguelR$600 /mêsKitnet 2quartosPequena casa tipo kitnet, 2quartos,excelente localização, perto supermercado,fácil estacionamento, local seguro [...", 2 Dormitórios 1 Banheiro, 2 ,1
ALUGO CASA NA DIOGO MOIA,"Casa está localizado no bairro Umarizal com 3 quartos sendo 1 suite e 3 banheiros. Casa com 3 dormitórios, 3 [...]"," Umarizal, Belém ",2500, Umarizal, Belém ,"AluguelR$2.500 /mêsALUGO CASA NA DIOGO MOIACasa está localizado no bairro Umarizal com 3 quartos sendo 1 suite e 3 banheiros. Casa com 3 dormitórios, 3 [...", 3 Dormitórios 3 Banheiros, 3 ,3
"Prédio na Humaitá, excelente localização","Prédio bem localizado na Travessa Humaitá nº 1.733, entre as Avenidas Duque de Caxias e Visconde Inhaúma, [...]"," Pedreira, Belém ",10000, Pedreira, Belém ,"AluguelR$10.000 /mêsPrédio na Humaitá, excelente localizaçãoPrédio bem localizado na Travessa Humaitá nº 1.733, entre as Avenidas Duque de Caxias e Visconde Inhaúma, [...", 3 Dormitórios 5 Banheiros, 3 ,5
CASA COM 2 QUARTOS ( PEDREIRA,"Casa na lomas Valentina com 2 quartos, cozinha, banheiro, pátio. Perto de supermercados, padarias, farmácias, [...]"," Pedreira, Belém ",1200, Pedreira, Belém ,"AluguelR$1.200 /mêsCASA COM 2 QUARTOS ( PEDREIRACasa na lomas Valentina com 2 quartos, cozinha, banheiro, pátio. Perto de supermercados, padarias, farmácias, [...", 2 Dormitórios 1 Banheiro, 2 ,1
Alugo Casa Com 3 Quartos Na Villa 3 de Maior,"NA GENERALÍSSIMO DEODORO br br NA GENERALÍSSIMO DEODORO br AVENIDA GENERALÍSSIMO DEODORO, ENTE GENTIL E CONSELHEIRO [...]"," São Brás, Belém ",2150, São Brás, Belém ,"AluguelR$2.150 /mêsAlugo Casa Com 3 Quartos Na Villa 3 de MaiorNA GENERALÍSSIMO DEODORO br br NA GENERALÍSSIMO DEODORO br AVENIDA GENERALÍSSIMO DEODORO, ENTE GENTIL E CONSELHEIRO [...", 3 Dormitórios 2 Banheiros, 3 ,2
Casa para aluguel possui 2000 metros quadrados com 5 quartos em Batista Campos - Belém - P,29 (91) 9 9980.0219 br br A casa no bairro Batista Campos com 2000 metros quadrados com 5 quartos e 6 banheiros," Batista Campos, Belém ",12000, Batista Campos, Belém ,AluguelR$12.000 /mêsCasa para aluguel possui 2000 metros quadrados com 5 quartos em Batista Campos - Belém - P29 (91) 9 9980.0219 br br A casa no bairro Batista Campos com 2000 metros quadrados com 5 quartos e 6 banheiros 5 Dormitórios 5 Banheiros,Desconhecido,0,0
Casa de 1/4 com Garagem,"Casa Térrea com um quarto grande e com garagem pra dois carros, cozinha/sala, área de serviço e banheiro. Casa [...]"," Cabanagem, Belém ",800, Cabanagem, Belém ,"AluguelR$800 /mêsCasa de 1/4 com GaragemCasa Térrea com um quarto grande e com garagem pra dois carros, cozinha/sala, área de serviço e banheiro. Casa [...", 1 Dormitório 1 Banheiro 2 Vagas na garagem, 1 ,1
Casa no conjunto orlando lobato,"Casa com 3 quartos, sala, cozinha, banheiro, lavatório, quintal, despensa e vaga para 2 carros"," Parque Verde, Belém ",850, Parque Verde, Belém ,"AluguelR$850 /mêsCasa no conjunto orlando lobatoCasa com 3 quartos, sala, cozinha, banheiro, lavatório, quintal, despensa e vaga para 2 carros 3 Dormitórios 2 Vagas na garagem",Desconhecido,0,0
Alugo em Mosqueiro,"Ponto comercial medindo x22, que serve para depósito de gás, ou outros. R$. 099,00 o mês br ponto comercial, [...]"," Vila, Belém ",800, Vila, Belém ,"AluguelR$800 /mêsAlugo em MosqueiroPonto comercial medindo x22, que serve para depósito de gás, ou outros. R$. 099,00 o mês br ponto comercial, [...", 3 Dormitórios 4 Banheiros 1 Vaga na garagem, 3 ,4
PRÉDIO CLÍNICA MÉDICA POPULAR OU ODONTOLÓGICA,"EXCELENTE IMÓVEL TÉRREO COM 3 SALAS COM INSTALAÇÃO PARA AR, PORTÃO ELETRÔNICO GARAGEM PARA 2 CARROS, NA [...]"," Belém, PA",2500, Belém, PA,"AluguelR$2.500 /mêsPRÉDIO CLÍNICA MÉDICA POPULAR OU ODONTOLÓGICAEXCELENTE IMÓVEL TÉRREO COM 3 SALAS COM INSTALAÇÃO PARA AR, PORTÃO ELETRÔNICO GARAGEM PARA 2 CARROS, NA [...",360m² de Área,0,0
